,bak,en
546,Ҡан баҫымы.,Blood pressure.
547,Аҡ ҡан күҙәнәктәре.,White blood cells.
549,Мул иген уңышы быйыл проблемаға әүерелде – хаҡтар кинәт төшә башланы.,The rich cereal crops this year turned into a problem  – the prices started to decrease dramatically.
550,Сит ил.,A foregn country.
551,Һалдат илде һаҡлай.,Soldier guards the country.
552,Йәш быуын — илдең киләсәге.,The young generation is the countrys future.
553,Илдә тәмәке тартыуға ҡаршы аҙналыҡ башланды.,A weekly campaign against tobacco smoking has begun in the country.
554,"Беҙҙең илебеҙҙә Интернет түгел, гәзит барып етмәгән, почтальон аяғы баҫмаған мөйөштәр бар һаман.","There are still locations in our country where newspapers do not reach, (where) postmans feet hasnt touched yet, let alone the Internet."
555,"Батыр яуҙан ҡайтмаһа, даны ҡайтыр иленә.","If a hero does not return from war, his good name will return to his homeland."
556,Х быуаттан башҡорттар мөхитенә Ислам дине үтеп инә башлай.,"From with the tenth century, the religion of Islam starts to penetrate into the Bashkirs environment."
557,Борон Урал арты башҡорттары илендә бик көслө батыр йәшәгән.,"Formerly, a very strong man used to live in the lands of Trans-Uralian Bashkirs."
558,Салауат — башҡорт үҙаңының нормаһы.,[[:w:Salawat Yulayev|Salawat (Yulayev)]] is (part of) the standard of Bashkir identity.
559,Бар көсөмдө башҡорт Википедияһына һалам.,I put my every effort into the Bashkir Wikipedia.
560,Ҡыҙыбыҙ ҡаланан айына бер ҡайтып тора.,Our daughter comes home from the city once a month.
561,Оҙон үткер суҡышы менән ағасты соҡоп тапҡан ем менән туҡлана торған урман ҡошо.,A forest bird that feeds on the food it finds by pecking wood with its long shap beek.
562,Ысын лидерға ниндәй сифаттар хас булырға тейеш?,What qualities must be inherent to a true leader?
563,Балағыҙҙа күрергә теләгән сифаттар үҙегеҙҙә лә булһын!,May the qualities that you would like to see in your children be also present in yourselves!
564,Һөйләмдә сифаттар һәр саҡ тиерлек аныҡлаусы һәм хәбәр функцияһын башҡара.,"In the sentence, adjectives practically always fulfil the function of the attribute or the predicate."
565,"Ҡәйнәһенә инсульт булып, аяҡтан ҡалған.",(His/her) mother-in-law had a stroke and lost the ability to walk.
567,Яҡшы атҡа сыбыртҡы кәрәкмәй.,"For a good horse, no whip is needed."
568,Һарымһаҡ төнәтмәһе склероздан һәм баш шаулауҙан яҡшы сара булып һанала.,Garlic infusion is considered to be a good remedy for senile memory loss and tinnitus.
569,"Көнө етер, ергә яңы пәйғәмбәр килер.","The day will come, (when) a new prophet will come to the earth."
570,Торлаҡ мәсьәләһе яңы ғына ғаилә ҡороп бергә йәшәй башлаған күп йәштәрҙе борсой.,The housing problem disturbs many young people who have just started a family and began to live together.
571,Ҡылыс ҡынында килешә.,The sword best fits in its scabbard (=A good sword is the one left in its scabbard.)
572,Ҡылыс күтәреп килгән килмешәк ҡылыстан үлемен дә табыр.,"An alien who comes raising a sword, will find his death from a sword as well."
573,"Һәр Интернет ҡулланыусыһы Википедияға — мәҫәлән, яңы мәҡәлә яҙып йәки булғандарын төҙәтеп — үҙ өлөшөн индерә ала.","Every Internet user can make their contribution to Wikipedia — for example, by writing a new article or by editing the existing ones."
574,"Ысынбарлыҡҡа тап килгән, булып торған хәлдәрҙе оператив сағылдырған Интернет-сығанаҡтарға ихтыяж көндән-көн артасаҡ.","Day after day, the need will grow for Internet sources that correspond to reality (and) promptly represent occurring events."
575,Баҡса үҫемлеге.,A garden plant.
576,Үҫемлек майы.,Vegetable oil.
577,Был ерҙә генә осраған һәм башҡа бер ҡайҙа ла үҫмәгән үҫемлектәр бар.,There are plants that only occur at this place and do not grow anywhere else.
578,"Тапалыу һөҙөмтәһендә урман үҫемлектәре һәләк була, улар урынына сыҙамлы болон һәм сүп үләндәре сыға, тупраҡты бысрата.","As a result of trampling, forest plants perish; in their place, endurable meadow and weed plants appear and contamiate the soil."
579,"Янғын осраҡтарын иҫкәртеү өсөн район хакимиәте кипкән үлән, тирәк мамығы, үҫемлек ҡалдыҡтарын яндырыуҙы быйыл алдан уҡ тыйып ҡуйған.","This year, the district administration has beforehand prohibited to burn dry grass, poplar down, (and) remnants of plants so as to forestall (possible) cases of wildfire."
580,"Бындай хәлде күреп, әсәйем өнһөҙ ҡалды.","When seeing this situation, my mother became speechless."
581,"Әсәһе үлгәс, атаһы өйгә үгәй әсә алып ҡайтҡан.","When her mother died, her father brought home a stepmother."
582,Төрөкмәнстандың күпселек майҙанын Ҡараҡом сүле алып тора.,Most of Turkmenistans territory is taken up by the Karakum desert.
583,Ваҡ аҡса.,"Small money, small change."
584,Ялған аҡса.,Counterfeit money.
585,"Аҡсаң булһа, бар ергә лә юл асыҡ.","If you have money, roads are open to anywhere."
586,Фонд биржаһы был көндә йәмғеһе 14 миллиард доллар аҡсаһын юғалта.,"On this day, the stock market lost a total of 14 billion dollars."
587,Баҡыр оҫтаһы.,Coppersmith.
588,"Имгәнеп, ҡоро бушҡа аҙапланма // Баҡыр сыҡмаҫ урындан алтын ҡаҙып.","Do not take pains in vain, digging for gold at a place that wont produce (even) copper."
589,Тамсы таш тишә.,Dripping (water) pierces a stone.
590,Бер стакан һыуға 2—3 тамсы йод эретмәһе тамыҙығыҙ.,Drip 2-3 drops of iodine solution into a glass of water.
591,"Эстән янып-көйөүгә ҡарамаҫтан, кисерештәренең тамсыһын да иренә күрһәтергә ашыҡманы.","Although ablaze within, (she) did not hurry to show a droplet of her feelings to her husband."
592,Тәмәке төтөнө.,Tobacco smoke.
593,Ерек төтөнөнә ыҫталған [[ҡорот]].,Qurut treated with alder smoke.
594,Шайтан ут менән төтөндән яралған.,The [[shaitan]] was created from fire and smoke.
595,Мул һыулы йылға.,A full-flowing river.
596,"Ҡаҙанды йылғаға алып барып, ҡом менән ышҡып йыу.",Take the cauldron to the river (and) wash it rubbing with sand.
597,Яҙғы ташҡында йылғаға яҡын йорттар зыян күрә.,"In the spring flood, the houses (located) close to the river sustain damage."
598,Ҡойма ямғыр.,Heavy rain.
599,Ямғыр болото.,Rain cloud.
600,"Турғай саңда ҡойонһа, ямғыр яуа.","If a sparrow takes a dust bath, it will rain."
601,Ғишыҡ хаты.,A love letter.
602,Рәхмәт хаты.,Thank-you letter.
603,Минән хат көт.,Wait for a letter from me.
604,Иҫтәлеккә тик өсмөйөшлө һалдат хаттары ғына ҡалды.,Only the soldiers triangle letters (=wartime blue-envelope mail) have remained as a keepsake.
605,Хаттың тышында адресын күреү менән атайымдың ҡулын таныным.,"As soon as I saw the address on the envelope of the letter, I recognized my fathers handwriting."
606,"Алпамыша, ебәргән хатына яуап-хәбәр булмағас, бик ҡайғырған, ти.",Alpamysha was very sad as there was no reply to the letter he had sent.
607,Мин һеҙҙе яратам.|tr=Min heððe yaratam.,I love you guys.
608,"Һеҙ, һис шикһеҙ, тамуҡ ялҡынын күрәсәкһегеҙ.","Beyond any doubt, you will see the flame of hell."
609,Беҙ буш вәғәҙә бирмәйбеҙ.,We do not give empty promises.
610,"Беҙ икәү айырылышһаҡ та, хистәрем һүнеп бөтмәгән.","Although we two have divorced, my feelings have not quite waned."
611,"Баҡтиһәң, кеше беҙ күреп белгән материаль тән генә түгел икән.","As it emerges, a human is not only the material body that we see and know."
612,"Беҙ, уҡытыусылар, йыш ҡына уҡыусыларыбыҙға: “Көндәлек — һеҙҙең йөҙөгөҙ”, тип әйтергә яратабыҙ.","We, teachers, often like to tell our students:(your) report card is your face""."
613,Мин һине яратам.|tr=Min hine yaratam.,I love you.
614,Һин бит минең бер генәм!,You are indeed my only one.
615,Мин уны яратам.,I love him/her.
616,Ул айырым бүлмәлә тора.,He/she lives in a separate room.
617,"Ул тамам аяғына баҫҡансы, беҙ уға ярҙам итергә тейешбеҙ.",We must help him until he quite gets on his feet.
618,"Атаңдың ғына улы булма, халҡыңдың да улы бул.","Dont be only your fathers son, but also be your peoples son."
619,Мин уларҙы яратам.|tr=Min ularðı yaratam.,I love them.
620,"Лут пәйғәмбәрҙең өгөттәренә иғтибар итмәйенсә, улар зина ҡылыуҙарын дауам иттеләр.","Failing to pay attention to prophet Lots admonitions, they continued with their fornications.|q=From a [[tafsir]] to Quran 7:84."
621,Мин һине яратам.,I love you.
622,"Баланы нисек бар, шулай яратығыҙ.",Love the child the way (he/she) is.
623,Туңдырма яратмаған бала була микән?,Can there be a child who doesnt like ice cream?
624,Һәр кешене Алла бәхет өсөн яратҡан.,God created every person to be happy.
625,Ике тәҙрәһе урамға ҡараған ҙур бүлмә.,A large room with two windows overlooking the street.
626,Ул айырым бүлмәлә тора.,He/she lives in a separate room.
627,Балаларҙың шат тауышы бүлмәне тултыра.,Childrens cheerful voices fill the room.
628,"Опто — сөсө һыу балығы, ярым сөсө диңгеҙ ҡултыҡтарында ла осрай.",Ide is a freshwater fish; (it) also occurs in semi-fresh (low-salinity) marine backwater.
629,"Сабан ат, яман ҡатын, ҡыйыш мылтыҡ — шул өсәү ир-егетте ҡартайталыр.","A lazy horse, an evil wife, (and) a crooked rifle — these three things make a man grow old."
630,Күрше ҡатындан кәзә һөтө һатып алам.,I buy goat milk from the neighbor woman.
631,Яңы хөкүмәткә ябай ауыл ҡатындарынан наказ – ирҙәребеҙҙе Себерҙән ҡайтарығыҙ!,A mandate for the new government from ordinary rural women: send our husbands back home from Siberia! (i.e. create jobs at home.)
632,"Ҡатыны тураһында үҙенән һорап ҡуймағыҙ, ул уны бер йыл элек юл фажиғәһендә юғалтҡан.",Dont ask him about his wife – he lost her one year ago in a traffic accident.
636,"Ысынлап та, классик булып танылған яҙыусыларҙың көндәлектәре генә киң уҡыусы өсөн баҫылып сыға.|tr=Isïnlap ta, klassik bulïp tanïlğan yaðïwsïlarðïñ köndälektäre genä kiñ uqïwsï ösön baθïlïp sïğa.","Indeed, only the diaries of writers who are considered classical, get published for the general reader."
637,Хәҙер көндәлектәрегеҙҙе асып өйгә эшен яҙып ҡуйығыҙ әле.,"Now, please open your report cards and write down homework."
638,"Беҙ, уҡытыусылар, йыш ҡына уҡыусыларыбыҙға: “Көндәлек — һеҙҙең йөҙөгөҙ”, тип әйтергә яратабыҙ.|tr=Beð, uqïtïwsïlar, yïš qïna uqïıwsïlarïbïðğa: ""Köndälek - heððeñ yöðögöð"", tip äytergä yaratabïð.","We, teachers, often like to tell our students: ""a students report card is his/her face""."
639,Көндәлек гәзит.,Daily newspaper.
640,Ваҡ-төйәк көндәлек мәшәҡәт.,The everyday small fuss and bother.
641,Шахмат таҡтаһы|tr=šaxmat taqtahï,chessboard.
642,Иҙән таҡтаһы.,Floorboard.
643,"Ни өсөн Рәсәйҙә ҡоймаларҙы таҡтанан, ә мебелде ағас онтағынан эшләйҙәр икән?","Why are fences in Russia made of planks, and furniture of sawdust?"
644,Уҡытыусы апай мине таҡтаға мәсьәлә сисергә сығарҙы.|tr=Uqïtïwsï apay mine taqtağa mäsälä sisergä sïğarðï.,The teacher called me to the board to solve a problem.
645,Балалар араһында икенсе-өсөнсө партала ултырып та таҡтанан насар күргәндәре бар.,"Among the children (=students), there are some who see the blackboard poorly, even when sitting at the second (or) third desk (from the front)."
646,...шәрә күктә ҡояш — ут йомғағы.,"...in the naked sky, (there is) the sun, a ball of fire.|q=[[:w:Mustai Karim|Mustai Karim]]"
647,"Бер саҡ Нух, шарап эсеп иҫереп, сатыры эсендә шәрә килеш ята ине.","One day Noah, drunken after drinking wine,  lay naked inside his tent.|q=Genesis 9:21."
649,Был һорауға түрә тотҡарлыҡһыҙ яуап бирә алманы.,The state officer was not able to give an immediate answer to this question.
650,Ә бына шәхси ҡунаҡхана асыу — уныһы инде беҙҙең өсөн бөтөнләй ят күренеш.,"However, to open up a private hotel is a phenomenon completely unfamiliar to us."
651,Ямғырҙар миҙгеле.,The rain season.
652,Ураҡ миҙгеле.,The harvest season.
653,Һәр эштең үҙ миҙгеле бар.,"For each activity, there is its season."
654,Балаға һәр миҙгел бер-ике пар аяҡ кейеме алырға тура килә.,"Every season, I have to buy a pair or two of footwear for the child."
655,"Даими беренселектә миҙгел буйына лидер булып килеп, аҙағында ғына Силәбенең «Трактор»ына дилбегәне бирҙе.","[The hockey team] has been in the lead for the entire season, and only at the end it handed the reins over to [[:w:Traktor Chelyabinsk|Traktor Chelyabinsk]]."
656,"Атлан, батыр, атҡа, тот һөңгөңдө!","Brave man, mount a horse, take your spear!"
657,"Батыр яуҙан ҡайтмаһа, даны ҡайтыр иленә.","If a hero does not return from war, his good name will return to his homeland."
658,"Батыр йәнтөйәгенә ярты быуаттан ҡайтты, тик һәйкәл булып ҡына.",The hero has (at last) returned to his home place after half a century - but only as a sculpture.
659,Борон Урал арты башҡорттары илендә бик көслө батыр йәшәгән.,"Formerly, a very strong man used to live in the lands of Trans-Uralian Bashkirs."
660,Машинаның тәгәрмәсен алыштырыр кәрәк.,The cars wheel needs to be replaced.
661,"Буддизмда тәгәрмәс — кешенең фани донъяға эҙмә-эҙ тыуып тороуы, яңылышып, туҡталмаҫ ғазап күреп, наҙанлыҡта йәшәүе символы.","In Buddhism, the wheel is a symbol of humans constant rebirths into the perishable world, erring, endless suffering and living in ignorance."
662,АҠШ етәкселеге граждандарын Сүриәгә барыуҙан тыйылып торорға саҡырҙы.,The US administration advised its citizens to defer traveling to Syria.
664,[[яҙмыштан уҙмыш юҡ|Яҙмыштан уҙмыш юҡ]].,Theres no escape from fate.
665,Арпа алтмыш көндә өлгөрә.,Barley matures in sixty days.
666,Тары бөртөгө.,A grain of millet.
667,Тары бутҡаһы.,Millet porridge.
669,Көндәлек кейем.,Everyday clothes.
670,Йәйге селләлә ҡатын-ҡыҙ өсөн иң уңайлы кейем — йоҡа туҡыманан тегелгән күлдәк.,"In the summer heat, the most convenient clothing for a female is a dress sewn from a thin fabric."
671,Милли кейем.,Ethnic costume.
672,Сәхнә кейеме.,Stage costume.
673,Таштан яһалған тәүтормош хеҙмәт ҡоралдары.,Primitive instruments of labor made of stone.
674,Тырышҡан ташҡа ҡаҙаҡ ҡаҡҡан.,A hardworking (person) has driven a nail into a rock.
685,Төбәк-ара бәйләнештәр.,Inter-regional relations.
686,Төбәктә эшҡыуарҙар әүҙемлеге күрһәткесе.,Index of entrepreneurs activity in the region.
687,Ял көндәре төбәктә һыуыҡ буласаҡ.,The weekend will be cold in the region.
688,Сит кешенең ҡолағына ят булып ишетелгән атамалар шул төбәктә тыуып үҫкәндәр өсөн ҙур мәғәнәгә эйә.,"The place names that sound strange to a foreigners ears, have a deep meaning for those who were born and grew up in that region."
689,Төбәктә эшҡыуарҙар әүҙемлеге күрһәткесе.,Index of entrepreneurs activity in the region.
690,"Шәхси эшҡыуарҙар, әлбиттә, үҙ мәнфәғәттәрен алға һөрә.","Private entrepreneurs, naturally, promote their own interests."
691,"Беҙҙең илебеҙҙә Интернет түгел, гәзит барып етмәгән, почтальон аяғы баҫмаған мөйөштәр бар һаман.","There are still locations in our country where newspapers do not reach, (where) postmans feet hasnt touched yet, let alone the Internet."
692,Тура мөйөш.,Right angle.
693,Ҡыҫыҡ мөйөш.,Acute angle.
694,Был көндө ир-аттар иртә таңдан тороп мәсеткә йүнәлә.,"On this day, men get up early at dawn and head for the mosque."
695,Өфөнөң Һупайлы биҫтәһендә яңы мәсет һалына.,A new mosque is being constructed in the Sipaylovo district of Ufa.
696,Католик сиркәүе.,The Catholic church.
697,"Йылъяҙма һөйләүенсә, 1124-се йылда Киев ике көн яна, 600 сиркәү юҡҡа сыға.","As a chronical narrates, in the year of 1124 Kiev was on fire for two days, 600 churches were destroyed."
698,Әлеге көндә копт теле тик сиркәү теле булараҡ ҡына һаҡланған.,"By these days, the Coptic language has been preserved as an ecclesiastical language only."
703,"Бәләкәй хәреф, юл хәрефе.",Lowercase letter.
704,Ҙур хәреф.,Capital letter.
705,Башҡорт алфавитында 42 хәреф бар.,There are 42 letters in the Bashkir alphabet.
706,Исем-фамилияғыҙҙы дәфтәрҙең тышына баҫма хәрефтәр менән яҙып ҡуйығыҙ.,Write your given and family name on the cover of the work book in block letters.
707,Хәреф йыйыусы.,Typesetter.
708,Тимер юл.,"Railway, railroad"
709,Ебәк юлы.,The Silk Road
710,Бөтә юлдар ҙа башҡалаға илтә.,All roads bring (you) to the capital.
711,Оҙон юлда эт тә иптәшкә ярай.,"On a long walk, a dog is ok to keep you company (=is better than no company at all)."
712,Төҙөләсәк юлдың ике йүнәлешендә лә һәр береһе дүртәр метр ике юл һыҙаты ҡаралған.,"It is provisioned that the highway to be constructed will have two lanes in each direction, each four meters (wide)."
713,"Көн һайын яҙырға тырышығыҙ; һәр яҙған бит, юл менән ҡәләмегеҙ шымара бара.","Try to write (=practice writing) every day; your style improves with each written page, (each) line (you write)."
714,Санғы юлы,Ski track
715,Машина юлы,Car track.
716,Самолёт юлы,Vapor trail.
717,Тормош юлы,Life journey.
718,Яҙыусының ижади юлы,Writers career.
719,АҠШ етәкселеге граждандарын Сүриәгә барыуҙан тыйылып торорға саҡырҙы.,The US administration advised its citizens to defer traveling to Syria.
720,Был осорҙа АҠШ Япония менән мөнәсәбәтен нығытыуға баҫым яһай ине.,"During this period, the USA placed emphasis on strengthening its relationship with Japan."
721,АҠШ доллары.,The US dollar.
722,АҠШ илселеге.,The US embassy.
723,Маймыл күп кенә мәҫәлдәрҙә наҙанлыҡты сағылдырыусы символ булып баҫа.,"In many fables, the monkey is (lit. stands as) a symbol representing ignorance."
724,Мәжит Ғафури «Януарҙарға килгән үләт» исемле мәҫәлендә Лафонтен заманынан билдәле сюжетҡа мөрәжәғәт итә.,"[[:w:Majit Gafuri|Majit Gafuri]] in his fable titled ""The pestilence has come to animals"" turns to a plot known from the times of (Jean de) La Fontaine."
725,"Бер аҙналай интегеп, табипҡа барҙым.","After suffering for a week or so, I went to the doctor."
726,"Кесе йома төндә Ҡояш тотоласаҡ, уның тәьҫире бөтә аҙнаға һуҙыласаҡ.","On Thursday night, there will be a solar eclipse; its impact will last for the whole week."
727,"Был аҙналағы ваҡиғаларҙың барышына ҡарағанда, ғәмәлдәрҙең һөҙөмтәһенә күберәк иғтибар бүлегеҙ.","This week, pay more attention to the results of actions rather than to the course of events."
728,"Бер ауылда бер ярлы ғына әбей йәшәгән, аның Йәнтимер исемле 12 йәшле улы булған ти.","A rather poor old woman lived in a village, she had a 12-year old son called Yäntimer."
729,"Бүреләр ауылға яҡынлашһа, эттәр өрә башлай.","If wolves come close to a village, dogs start barking."
730,"Кәртәгә тотоноп, ҡарт оҙаҡ ҡына ауыл урамына ҡарап торҙо.","The old man stood for a long time, holding on a fence and looking at the village street."
731,Урал православтары араһында киң танылған Табын тәреһе үҙ исемен хәҙерге Ғафури районындағы Табын ауылынан алған.,"The Tabym icon (of Madonna), widely popular among the Orthodox (people) of the Urals, acquired its name from the village of Tabyn in present-day Gafuri district (in Bashkortostan)."
732,"Өләсәйем шофёрҙың исемен дә, ҡайһы ауылдан икәнен дә онотҡан.",My grandma forgot both the drivers name and from which aul he was.
733,"Байрам булды ниһә, ауылда ҡатын-ҡыҙҙар сәйгә йөрөшөр ине.","Should there be a holiday, the women in rural communities would visit each other for tea."
734,Ҡаҙағстанда ла аҙаш ауыл бар икән.,"As it happens, there is an aul of the same name in Kazakhstan as well."
735,Республикалағы һәр өсөнсө эшһеҙ — ауыл кешеһе.,Every third unemployed (person) in the republic (of Bashkortostan) is a rural dweller.
736,Ҡәләм менән төшөрөлгән һүрәт.,A picture drawn in pencil
737,Һалдат сағында ла шағир ҡулынан ҡәләмен төшөрмәй.,"Also in his soldier days, the poet wont leave hold of his pencil (=continues to write)"
738,Ҡауырһын ҡәләм.,Feather pen
739,"Көн һайын яҙырға тырышығыҙ; һәр яҙған бит, юл менән ҡәләмегеҙ шымара бара.","Try to write (=practice writing) every day; your style improves with each written page, (each) line (you write)"
740,Һалдат илде һаҡлай.,Soldier guards the country.
741,Билдәһеҙ һалдат һәйкәле.,The monument to an unknown soldier.
742,Һуңғы йылдарҙа һалдат хеҙмәтенең абруйы эҙмә-эҙлекле кәмей бара.,"In the recent years, the prestige of serving as a soldier has steadily been lowered."
743,Иҫтәлеккә тик өсмөйөшлө һалдат хаттары ғына ҡалды.,Only the soldiers triangle letters (=wartime blue-envelope mail) have remained as a keepsake.
744,Сәскә түтәле.,A flower bed.
745,"Былар ябай сәскә түгел, дарыу үләндәре.","these are not simple flowers, (but) medicinal herbs."
746,"Сыйырсыҡ, турғай, сәпсек кеүек ваҡ ҡоштар баҡса ҡоротҡостарын бик әүҙем сүпләй.","Such small birds as starlings, sparrows, wagtails are very active in collecting garden pests."
747,Ыуылдырыҡ сәсеү,to [[spawn]].
748,Баҡа ыуылдырығы,frog spawn.
749,Ҡыҙыл ыуылдырыҡ,Red caviar.
750,Советтар Союзы осоронда дәүләт байрағы итеп ураҡ һәм сүкеш төшөрөлгән ҡыҙыл байраҡ таныла.,"In the period of the Soviet Union, the red banner depicting a hammer and sickle is recognized as the state flag."
751,"Кимереүселәргә һәм башҡа ваҡ хайуандарға яңғыҙ һунарсы булһа ла, бесәй — социаль хайуан.","Although (it is) a sole hunter of rodents and other small animals, the cat is a social animal."
752,Буш дәфтәр.,A blank copybook.
753,Буй дәфтәр.,Lined notebook.
754,Шаҡмаҡ дәфтәр.,Grid notebook.
755,Ҡуйын дәфтәре.,"Pocket book, memo book."
756,Исем-фамилияғыҙҙы дәфтәрҙең тышына баҫма хәрефтәр менән яҙып ҡуйығыҙ.,Write your given and family name on the cover of the work book in block letters.
757,Артҡы партала ултырған Самат һиҙҙермәй генә дәфтәренән бер бит йыртып алды ла самолёт яһаны.,"Samat, who was sitting at the back school-desk, surreptitiously tore a page out of his notebook and made a (paper) plane."
758,Ҡәләм менән төшөрөлгән һүрәт.,A picture drawn in pencil
759,Бала саҡтан уҡ һүрәттәр төшөрөргә яраттым.,"From the very childhood, I liked to draw pictures."
760,Баш мәҡәлә.,"Feature article, main article."
761,Гәзит өсөн мәҡәлә яҙғанда мин ғәҙәттә хәл-ваҡиғаға уҡыусы күҙлегенән бағам.,"When I write an article for a newspaper, I usually look at events from the readers point of view."
762,Был хәл тураһында район гәзитендә мәҡәлә яҙып сығарҙылар инде.,They already published an article on this matter in the districts (=local) newspaper.
763,Башҡорт Википедияһындағы мәҡәләләр һаны меңгә тулды.,The number of articles in the Bashkir Wikipedia has reached one thousand.
764,"Һәр Интернет ҡулланыусыһы Википедияға — мәҫәлән, яңы мәҡәлә яҙып йәки булғандарын төҙәтеп — үҙ өлөшөн индерә ала.","Every Internet user can make his/her contribution to Wikipedia — for example, by writing a new article or by editing the existing (articles)."
765,Тапҡыр һүҙ.,"Bon mot, witticism."
766,Һөйләмдә һүҙ тәртибе.,Word order in the sentence.
767,Башҡорт телендә был һүҙ ике мәғәнәлә йөрөй.,"In the Bashkir language, this word has two meanings."
768,"Һүҙ тыңламаҫ улыңдан һыйҙаш булһа, сит артыҡ.",An outsider who shares your meal is better than your son who wouldnt listen to (your) word.
769,Был һүҙем үләң түгел — бер нәсихәт.,"This speech of mine is not a song, but an edification."
770,"Егет, тыңла һүҙемде. Асыҡ күрҙең йөҙөмдө, [[Айһылыу]] тигән атым бар.","Young man, listen to what I say. You have clearly seen my face, I have my name that is Ayhïlïw."
771,"Ултыр әле, һиңә әйтер һүҙем бар.","Sit down, I have a word to tell you."
772,"Малайың оялыусан икән, һүҙ ҡушырға ла шөрләп тора.","Your son appears to be shy, he is even afraid to start speaking."
773,"Йола буйынса, тәү һүҙҙе иң хөрмәтле ҡунаҡ тотто.","By tradition, the most honored guest first took the floor."
774,Тимер рудаһы.,Iron ore.
775,"Ағастан, ҡаҙ һөйәгенән, тимерҙән эшләнгән ҡумыҙҙар була.","There exist Jews harps made of wood, goose bone and iron."
776,Матбуғат иреге.,Freedom of the press.
777,Матбуғат хеҙмәте.,Press service.
778,Совет дәүерендә матбуғат партияның иң үткер ҡоралдарының береһе булды.,"In the Soviet period, the press was one of the most powerful instruments of the (Communist) party."
779,Матбуғатта сығыш яһар өсөн теманы һайлап ала белеү йәш журналист өсөн бигерәк тә мөһим.,"For a novice (lit. young) journalist, it is especially important to be able to select the topic on which to appear in the press."
780,Матбуғат иреге.,Freedom of the press.
781,Ихтыяр иреге.,Freedom of will.
782,Шәхес иреге.,Freedom of will.
783,Һүҙ йөрөтөү ирке.,Freedom of speech.
784,Барыһы ла Хоҙайҙың иркендә.,Everything is in Godss control.
785,Ҡала майҙандарында шыршылар ҡуйылды.,Cristmas trees have been set up on the citys squares.
786,Торлаҡ майҙаны.,"Living space, housing space."
787,Белорет районы майҙаны буйынса республикала беренсе урын алып тора.,The Beloretsk district takes up the first place in the republic (of Bashkortostan) by its area.
788,Төрөкмәнстандың күпселек майҙанын Ҡараҡом сүле алып тора.,Most of Turkmenistans territory is taken up by the Karakum desert.
789,Фекер алышыу майҙаны.,A platform for exchanging opinions.
790,"Эшҡыуарлыҡ — көрәш майҙаны, унда бары тик таһылдар, сәмселдәр еңеү яулай.","Enterpreneurship is a space of struggle; in it, only the persevering and ambitious will win victory."
791,"Алпамыша атын ебәрә лә, майҙанға яҡын уҡ килеп, көрәш араһына килеп керә.","Alpamysha lets loose his horse, comes near the wrestling ring and enters the wrestle."
795,"Төпсөк иҙән ярығына төшөп китеп, баҙҙа ут тоҡанған.","The cigarette stub fell through a floor crack, and fire started in the cellar."
797,"Тап шундай берәҙәк эттәр ваҡ мал һәм ҡош-ҡорт өсөн генә түгел, кеше өсөн дә хәүефле.","Exactly this type of stray dogs is dangerous not only to small cattle and poultry, but also to humans."
798,Үткән ғүмер - аҡҡан һыу.,Past life is (like) water that has flowed.
799,Уҡытыусының ғүмере мәктәптә үтә.,The teachers life passes in the school.
800,Бындай форсат ғүмерҙә бер тапҡыр ғына сыға.,Such an opportunity arises only once in a lifetime.
801,"Тәбиғәт миҙгеле кеүек, һәр ғүмер миҙгеленең дә үҙ һабағы, үҙ аҡылы, үҙ ҡыҙығы була.","Just like every season of the year (lit. of the nature), each period in life has its lesson (to learn), its moral (to draw), its interest."
802,Мәктәп ― белем усағы.,School is the seedbed of knowledge.
803,Башланғыс мәктәп.,Primary school.
804,Олораҡ балалар күрше ауыл мәктәбенә йөрөп уҡыны.,Older children went to the school in the neighbor village.
805,Уҡытыусының ғүмере мәктәптә үтә.,The teachers life passes in the school.
806,Мәктәп өйрәтмәгәнде тормош өйрәтер.,"What school hasnt taught (you), life will teach."
807,Ҡорос бысаҡ.,Steel knife.
808,Атмосфера баҫымы - терегөмөш бағанаһы буйынса 750 мм.,The atmospheric pressure is 750mm by mercury column.
809,Ғүмрә хажы.,"umra, the small hajj."
810,Хажға барыу – изге ғәмәл.,Going to a hajj is a holy deed.
811,Башҡортостандан тәүге хаж ҡылыусылар төркөмө изге Мәккәгә һәм Мәҙинәгә 1 ноябрҙә юлға сыҡты.,A group of first-time Hajj performers from Bashkortostan set out on their journey to Mecca and Medina on November 1.
822,Күк шыршы.,Blue spruce.
823,"Шыршы орлоҡтары урман ҡоштарына һәм тейенгә, сысҡанға ем булып тора.","Spruce seeds are food for forest birds, squirrels and mice."
824,Шыршы башына ҡатырғанан ҡырҡып ҡыҙыл йондоҙ ҡуйҙыҡ.,We put a red star cut from cardboard on top of the Christmas tree.
825,Яңы йыл кисәһе.,The New Year party (for children).
826,Яңы йылда һәр бала мөғжизә көтә.,"At New Near, each child is waiting for a miracle."
827,Түбә ҡалайы.,Sheet iron for roofing.
828,Уртаҡ ҡылым.,Infinitive.
829,Күсемле ҡылым.,Transitive verb.
830,Ҡылымдарҙы киләсәк заманға ҡуйығыҙ.,Put the verbs in the future tense.
831,Ошо ҡылымдың бойороғо нисек яңғырай?,How does the imperative of this verb sound?
832,"Өйгә ҡайтып, усаҡҡа ут яға тор.",Go home and make fire in the stove.
